config,instance,severity,method,policy_source,seed,total_cost,departed,cpu,breakdown_count
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,17,4144.7142,16,259.0446,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,18,4146.1026,17,243.8884,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,19,3773.3412,20,188.6671,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,20,3793.201,20,189.6601,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,21,4311.9582,21,205.3313,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,22,4168.8424,12,347.4035,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,23,4022.2654,24,167.5944,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,24,3585.5076,17,210.9122,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,25,4120.1218,19,216.8485,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,26,3812.6556,16,238.291,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,27,3877.0002,16,242.3125,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,28,4306.8564,15,287.1238,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,29,4485.7376,13,345.0567,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,30,3956.7296,17,232.7488,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,31,4082.304,13,314.0234,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,32,3990.659,19,210.0347,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,33,3942.7156,19,207.5113,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,34,3693.6366,18,205.202,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,35,4122.9274,12,343.5773,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,36,3895.1286,17,229.1252,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,37,4480.1198,20,224.006,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,38,3913.5894,18,217.4216,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,39,4146.9604,16,259.185,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,40,3964.9668,16,247.8104,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,41,3537.6706,12,294.8059,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,42,3702.8602,18,205.7145,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,43,3607.4524,19,189.8659,
